Player,Team,Position,GP,MIN (Total),FT%,FTA,Wingspan (in),Height (in)
Keldon Johnson,SAS,PF,82,"1,911",79.4%,194,81.3,76.8
Cedric Coward,MEM,SG,62,"1,598",84.3%,166,86.3,77.3
Jake LaRavia,LAL,SF,82,"2,061",76.3%,152,81.5,78.8
Collin Sexton,CHI,PG,68,"1,613",85.5%,255,79.3,72.5
Andrew Nembhard,IND,PG,57,"1,786",82.5%,234,77.8,75
Saddiq Bey,NOP,SF,72,"2,246",84.1%,295,83,79
Tre Jones,CHI,PG,65,"1,752",84.1%,227,76,73
Dillon Brooks,PHX,SF,56,"1,702",84.2%,202,78,77
Andrew Wiggins,MIA,SG,68,"2,063",78.4%,162,84,79
Derik Queen,NOP,C,81,"2,023",79.5%,273,84.5,81.3
GG Jackson,MEM,SF,55,"1,178",74.2%,151,83.5,80.3
Jerami Grant,POR,SF,57,"1,695",81.4%,322,86.8,78.5
Brice Sensabaugh,UTA,SF,75,"1,762",82.6%,201,82,76.5
Jaime Jaquez Jr.,MIA,SG,75,"2,121",76.9%,216,81.5,78
Pelle Larsson,MIA,SG,70,"1,849",79.7%,231,79.5,77.3
Peyton Watson,DEN,SG,54,"1,598",73.0%,189,84.5,78.8
VJ Edgecombe,PHI,SG,75,"2,623",81.9%,182,79.5,76
Jeremiah Fears,NOP,PG,82,"2,112",78.9%,246,77.3,74.5
Tim Hardaway Jr.,DEN,SG,80,"2,127",81.1%,196,79,76.5
Mark Williams,PHX,C,60,"1,416",77.1%,175,90.5,84
Matas Buzelis,CHI,PF,77,"2,248",78.6%,238,82,80.8
PJ Washington,DAL,PF,56,"1,736",68.7%,182,86.5,78.5
Jaylen Wells,MEM,SG,69,"1,821",78.4%,171,79.3,78.5
Bilal Coulibaly,WAS,SG,56,"1,468",74.6%,177,86.5,78
Keyonte George,UTA,SG,54,"1,786",89.2%,378,81.3,74.5
Daniss Jenkins,DET,PG,72,"1,455",83.2%,161,78.5,75.3
Quentin Grimes,PHI,SG,75,"2,206",84.0%,237,79.8,76
Naji Marshall,DAL,SF,74,"2,184",76.0%,300,84.8,77.8
Noah Clowney,BKN,SF,66,"1,780",80.4%,224,86,81.5
Cam Thomas,MIL,SG,42,881,81.0%,168,78.5,75
DeMar DeRozan,SAC,SF,77,"2,406",86.8%,431,81,77.5
Nic Claxton,BKN,C,69,"1,920",61.6%,229,86.5,82
Bennedict Mathurin,LAC,SG,54,"1,620",86.9%,336,81,76.5
Jarace Walker,IND,PF,76,"1,953",74.9%,183,86.5,78.5
Maxime Raynaud,SAC,C,74,"1,964",78.6%,168,85.3,84.3
Dennis Schröder,CLE,PG,70,"1,696",83.4%,205,79.8,73
Isaiah Collier,UTA,PG,59,"1,517",72.2%,209,76.8,74.5
Will Riley,WAS,SF,74,"1,632",80.0%,180,80.8,80.3
Russell Westbrook,SAC,PG,64,"1,853",69.4%,183,79.8,74.3
